Book,Chapter,Pericope,RefId,start,end
Genesis,1,The Account of Creation,Genesis  1:1-2:4,Genesis.1.1,Genesis.2.4
Genesis,2,The Man and Woman in Eden,Genesis  2:5-25,Genesis.2.5,Genesis.2.25
Genesis,3,The Man and Woman Sin,Genesis  3:1-19,Genesis.3.1,Genesis.3.19
Genesis,3,Paradise Lost: God's Judgment,Genesis  3:20-24,Genesis.3.20,Genesis.3.24
Genesis,4,Cain and Abel,Genesis  4:1-16,Genesis.4.1,Genesis.4.16
Genesis,4,The Descendants of Cain,Genesis  4:17-24,Genesis.4.17,Genesis.4.24
Genesis,4,The Birth of Seth,Genesis  4:25-26,Genesis.4.25,Genesis.4.26
Genesis,5,The Descendants of Adam,Genesis  5,Genesis.5.1,Genesis.5.32
Genesis,6,A World Gone Wrong,Genesis  6:1-8,Genesis.6.1,Genesis.6.8
Genesis,6,The Story of Noah,Genesis  6:9-22,Genesis.6.9,Genesis.6.22
Genesis,7,The Flood Covers the Earth,Genesis  7,Genesis.7.1,Genesis.7.24
Genesis,8,The Flood Recedes,Genesis  8,Genesis.8.1,Genesis.8.22
Genesis,9,God Confirms His Covenant,Genesis  9:1-17,Genesis.9.1,Genesis.9.17
Genesis,9,Noah's Sons,Genesis  9:18-10:1,Genesis.9.18,Genesis.10.1
Genesis,10,Descendants of Japheth,Genesis  10:2-5,Genesis.10.2,Genesis.10.5
Genesis,10,Descendants of Ham,Genesis  10:6-20,Genesis.10.6,Genesis.10.20
Genesis,10,Descendants of Shem,Genesis  10:21-31,Genesis.10.21,Genesis.10.31
Genesis,10,Conclusion,Genesis  10:32,Genesis.10.32,Genesis.10.32
Genesis,11,The Tower of Babel,Genesis  11:1-9,Genesis.11.1,Genesis.11.9
Genesis,11,The Line of Descent from Shem to Abram,Genesis  11:10-26,Genesis.11.10,Genesis.11.26
Genesis,11,The Family of Terah,Genesis  11:27-32,Genesis.11.27,Genesis.11.32
Genesis,12,The Call of Abram,Genesis  12:1-9,Genesis.12.1,Genesis.12.9
